# nu/kHz  , Horizontal Umdrehungen, 1. Sweep Umdrehungen, 2. Sweep Umdrehungen
 100 , -0.08   , 5.01   , 6.21 ,-0.08
 200 , 0.00    , 4.32   , 6.77 ,0.00
 300 , 0.07    , 4.51   , 8.33 ,0.07
 400 , 0.12    , 4.00   , 8.80 ,0.12
 500 , 0.19    , 3.24   , 9.07 ,0.19
 600 , 0.23    , 3.9    , 8.24 ,0.29
 700 , 0.29    , 3.42   , 7.69 ,0.38
 800 , 0.30    , 5.49   , 5.10 ,0.52
 900 , 0.38    , 4.40   , 5.44 ,0.60
1000 , 0.40    , 6.17   , 5.03 ,0.70
