#Angle,       PSD,
	0,    439989,
0.005,    368821,
 0.01,    308001,
0.015,    258574,
 0.02,    227083,
0.025,    202422,
 0.03,    184492,
0.035,    173941,
 0.04,    165405,
0.045,    156992,
 0.05,    150332,
0.055,    141972,
 0.06,    133342,
0.065,    125480,
 0.07,    116290,
0.075,    109240,
 0.08,    103668,
0.085,     96783,
 0.09,     90479,
0.095,     84828,
  0.1,     79222,
0.105,     73167,
 0.11,     67128,
0.115,     61653,
 0.12,     56232,
0.125,     51877,
 0.13,     47426,
0.135,     43002,
 0.14,     38244,
0.145,     34886,
 0.15,     32272,
0.155,     29208,
 0.16,     26535,
0.165,     23885,
 0.17,     21236,
0.175,     19128,
 0.18,     16699,
0.185,     14829,
 0.19,     13283,
0.195,     11515,
  0.2,      9651,
0.205,      7998,
 0.21,      6630,
0.215,      5259,
 0.22,      4141,
0.225,      3393,
 0.23,      2762,
0.235,      2235,
 0.24,      1993,
0.245,      1775,
 0.25,      1610,
0.255,      1539,
 0.26,      1460,
0.265,      1332,
 0.27,      1223,
0.275,      1158,
 0.28,      1119,
0.285,      1087,
 0.29,      1046,
0.295,      1013,
  0.3,      1069,
0.305,       984,
 0.31,       963,
0.315,       865,
 0.32,       934,
0.325,       881,
 0.33,       845,
0.335,       875,
 0.34,       819,
0.345,       778,
 0.35,       766,
0.355,       766,
 0.36,       731,
0.365,       805,
 0.37,       768,
0.375,       781,
 0.38,       714,
0.385,       715,
 0.39,       745,
0.395,       708,
  0.4,       673,
0.405,       603,
 0.41,       600,
0.415,       551,
 0.42,       527,
0.425,       465,
 0.43,       501,
0.435,       459,
 0.44,       416,
0.445,       368,
 0.45,       369,
0.455,       284,
 0.46,       276,
0.465,       231,
 0.47,       214,
0.475,       178,
 0.48,       136,
0.485,       141,
 0.49,       150,
0.495,        81,
  0.5,        95,
0.505,        74,
 0.51,        74,
0.515,        64,
 0.52,        70,
0.525,        66,
 0.53,        77,
0.535,        77,
 0.54,        61,
0.545,        72,
 0.55,        68,
0.555,        68,
 0.56,        63,
0.565,        60,
 0.57,        63,
0.575,        58,
 0.58,        52,
0.585,        47,
 0.59,        49,
0.595,        57,
  0.6,        63,
0.605,        50,
 0.61,        70,
0.615,        65,
 0.62,        47,
0.625,        53,
 0.63,        47,
0.635,        36,
 0.64,        46,
0.645,        44,
 0.65,        57,
0.655,        61,
 0.66,        56,
0.665,        48,
 0.67,        48,
0.675,        26,
 0.68,        40,
0.685,        39,
 0.69,        36,
0.695,        47,
  0.7,        48,
0.705,        46,
 0.71,        49,
0.715,        44,
 0.72,        43,
0.725,        40,
 0.73,        33,
0.735,        37,
 0.74,        36,
0.745,        37,
 0.75,        29,
0.755,        24,
 0.76,        48,
0.765,        38,
 0.77,        29,
0.775,        24,
 0.78,        28,
0.785,        29,
 0.79,        36,
0.795,        25,
  0.8,        29,
0.805,        28,
 0.81,        34,
0.815,        43,
 0.82,        31,
0.825,        35,
 0.83,        21,
0.835,        29,
 0.84,        35,
0.845,        21,
 0.85,        22,
0.855,        31,
 0.86,        25,
0.865,        31,
 0.87,        29,
0.875,        29,
 0.88,        23,
0.885,        23,
 0.89,        23,
0.895,        26,
  0.9,        21,
0.905,        14,
 0.91,        27,
0.915,        22,
 0.92,        18,
0.925,        15,
 0.93,        27,
0.935,        12,
 0.94,        15,
0.945,        25,
 0.95,        18,
0.955,        14,
 0.96,        11,
0.965,        19,
 0.97,        20,
0.975,        19,
 0.98,        20,
