-1 ,      1
-0.96 ,      0
-0.92 ,      1
-0.88 ,      2
-0.84 ,      0
-0.8 ,      1
-0.76 ,      0
-0.72 ,      1
-0.68 ,      3
-0.64 ,      4
-0.6 ,      7
-0.56 ,      6
-0.52 ,     27
-0.48 ,     40
-0.44 ,    184
-0.4 ,   3619
-0.36 ,  17542
-0.32 ,  41386
-0.28 ,  73987
-0.24 , 116300
-0.2 , 164763
-0.16 , 210946
-0.12 , 271807
-0.08 , 339747
-0.04 , 406613
2.08167e-017 , 475311
0.04 , 542746
0.08 , 535833
0.12 , 460380
0.16 , 395837
0.2 , 334194
0.24 , 267976
0.28 , 211641
0.32 , 157344
0.36 , 118569
0.4 ,  75702
0.44 ,  43187
0.48 ,  19342
0.52 ,   4096
0.56 ,    223
0.6 ,     52
0.64 ,     21
0.68 ,     15
0.72 ,     11
0.76 ,      3
0.8 ,      4
0.84 ,      2
0.88 ,      3
0.92 ,      0
0.96 ,      0
 1 ,      1
